Local date,Demand
25Oct2023,"717,060"
26Oct2023,"692,969"
27Oct2023,"683,416"
28Oct2023,"625,408"
29Oct2023,"604,947"
30Oct2023,"676,216"
31Oct2023,"682,389"
01Nov2023,"701,319"
02Nov2023,"712,523"
03Nov2023,"699,056"
04Nov2023,"647,345"
05Nov2023,"604,184"
06Nov2023,"693,049"
07Nov2023,"695,511"
08Nov2023,"692,572"
09Nov2023,"690,876"
10Nov2023,"675,914"
11Nov2023,"630,769"
12Nov2023,"620,563"
13Nov2023,"681,567"
14Nov2023,"690,985"
15Nov2023,"713,972"
16Nov2023,"700,303"
17Nov2023,"696,385"
18Nov2023,"657,820"
19Nov2023,"629,175"
20Nov2023,"684,260"
21Nov2023,"703,314"
22Nov2023,"697,188"
23Nov2023,"616,880"
24Nov2023,"628,735"
25Nov2023,"627,832"
26Nov2023,"638,538"
27Nov2023,"707,732"
28Nov2023,"714,101"
29Nov2023,"724,338"
30Nov2023,"726,940"
01Dec2023,"712,971"
02Dec2023,"662,608"
03Dec2023,"646,085"
04Dec2023,"694,227"
05Dec2023,"699,123"
06Dec2023,"713,225"
07Dec2023,"707,114"
08Dec2023,"707,842"
09Dec2023,"661,058"
10Dec2023,"672,999"
11Dec2023,"726,213"
12Dec2023,"731,394"
13Dec2023,"733,385"
14Dec2023,"736,290"
15Dec2023,"727,604"
16Dec2023,"678,531"
17Dec2023,"681,917"
18Dec2023,"733,998"
19Dec2023,"726,333"
20Dec2023,"732,825"
21Dec2023,"717,725"
22Dec2023,"697,485"
23Dec2023,"655,523"
24Dec2023,"645,050"
25Dec2023,"630,939"
26Dec2023,"680,382"
27Dec2023,"699,599"
28Dec2023,"690,170"
29Dec2023,"679,225"
30Dec2023,"659,481"
31Dec2023,"653,830"
01Jan2024,"625,673"
02Jan2024,"691,946"
03Jan2024,"702,989"
04Jan2024,"706,509"
05Jan2024,"698,995"
06Jan2024,"678,086"
07Jan2024,"658,071"
08Jan2024,"735,299"
09Jan2024,"735,629"
10Jan2024,"739,700"
11Jan2024,"717,937"
12Jan2024,"737,145"
13Jan2024,"686,218"
14Jan2024,"641,580"
15Jan2024,"680,597"
16Jan2024,"712,261"
17Jan2024,"705,897"
18Jan2024,"703,371"
19Jan2024,"702,606"
20Jan2024,"665,292"
21Jan2024,"647,616"
22Jan2024,"710,233"
23Jan2024,"674,738"
24Jan2024,"705,752"
25Jan2024,"682,696"
26Jan2024,"679,220"
27Jan2024,"621,380"
28Jan2024,"602,002"
29Jan2024,"652,368"
30Jan2024,"658,031"
31Jan2024,"682,063"
01Feb2024,"704,583"
02Feb2024,"687,508"
03Feb2024,"652,893"
04Feb2024,"654,308"
05Feb2024,"703,966"
06Feb2024,"717,319"
07Feb2024,"738,646"
08Feb2024,"725,179"
09Feb2024,"705,701"
10Feb2024,"633,243"
11Feb2024,"631,541"
12Feb2024,"680,664"
13Feb2024,"679,286"
14Feb2024,"689,600"
15Feb2024,"678,706"
16Feb2024,"671,872"
17Feb2024,"650,336"
18Feb2024,"605,586"
19Feb2024,"664,391"
20Feb2024,"704,574"
21Feb2024,"675,189"
22Feb2024,"659,601"
23Feb2024,"659,132"
24Feb2024,"602,116"
25Feb2024,"580,536"
26Feb2024,"672,525"
27Feb2024,"652,846"
28Feb2024,"645,926"
29Feb2024,"677,393"
01Mar2024,"673,401"
02Mar2024,"642,146"
03Mar2024,"625,477"
04Mar2024,"667,146"
05Mar2024,"671,966"
06Mar2024,"680,763"
07Mar2024,"670,101"
08Mar2024,"636,545"
09Mar2024,"596,533"
10Mar2024,"553,965"
11Mar2024,"640,369"
12Mar2024,"664,533"
13Mar2024,"646,271"
14Mar2024,"633,891"
15Mar2024,"629,748"
16Mar2024,"578,441"
17Mar2024,"563,141"
18Mar2024,"636,677"
19Mar2024,"629,013"
20Mar2024,"627,953"
21Mar2024,"629,073"
22Mar2024,"638,014"
23Mar2024,"602,994"
24Mar2024,"579,818"
25Mar2024,"630,159"
26Mar2024,"630,440"
27Mar2024,"655,272"
28Mar2024,"642,777"
29Mar2024,"650,229"
30Mar2024,"618,769"
31Mar2024,"583,445"
01Apr2024,"612,308"
02Apr2024,"629,839"
03Apr2024,"642,233"
04Apr2024,"680,059"
05Apr2024,"673,328"
06Apr2024,"598,902"
07Apr2024,"573,131"
08Apr2024,"624,463"
09Apr2024,"633,807"
10Apr2024,"640,264"
11Apr2024,"656,891"
12Apr2024,"650,097"
13Apr2024,"624,574"
14Apr2024,"600,433"
15Apr2024,"625,325"
16Apr2024,"633,954"
17Apr2024,"644,029"
18Apr2024,"645,916"
19Apr2024,"638,267"
20Apr2024,"585,588"
21Apr2024,"589,405"
22Apr2024,"669,411"
23Apr2024,"652,521"
24Apr2024,"650,094"
25Apr2024,"653,044"
26Apr2024,"638,431"
27Apr2024,"578,999"
28Apr2024,"561,314"
29Apr2024,"634,701"
30Apr2024,"657,932"
01May2024,"665,352"
02May2024,"672,461"
03May2024,"669,394"
04May2024,"633,482"
05May2024,"561,558"
06May2024,"619,672"
07May2024,"637,272"
08May2024,"645,755"
09May2024,"672,160"
10May2024,"683,221"
11May2024,"643,408"
12May2024,"626,025"
13May2024,"684,480"
14May2024,"696,877"
15May2024,"720,827"
16May2024,"719,763"
17May2024,"715,585"
18May2024,"646,300"
19May2024,"613,850"
20May2024,"671,299"
21May2024,"686,084"
22May2024,"704,249"
23May2024,"697,665"
24May2024,"673,770"
25May2024,"612,196"
26May2024,"591,177"
27May2024,"623,604"
28May2024,"690,512"
29May2024,"718,032"
30May2024,"734,378"
31May2024,"750,873"
01Jun2024,"683,990"
02Jun2024,"648,971"
03Jun2024,"719,760"
04Jun2024,"785,081"
05Jun2024,"865,177"
06Jun2024,"858,692"
07Jun2024,"809,091"
08Jun2024,"705,323"
09Jun2024,"669,649"
10Jun2024,"764,079"
11Jun2024,"829,532"
12Jun2024,"836,310"
13Jun2024,"771,977"
14Jun2024,"776,874"
15Jun2024,"737,003"
16Jun2024,"692,120"
17Jun2024,"741,330"
18Jun2024,"766,969"
19Jun2024,"752,139"
20Jun2024,"772,079"
21Jun2024,"803,779"
22Jun2024,"841,594"
23Jun2024,"862,841"
24Jun2024,"928,589"
25Jun2024,"926,712"
26Jun2024,"869,439"
27Jun2024,"856,810"
28Jun2024,"850,482"
29Jun2024,"804,457"
